"wb2021","year","intervention","x50q30"
"HIC",2017,"Business as usual",0.0870115734744767
"HIC",2017,"Scenario 1",0.0870115734744767
"HIC",2017,"Scenario 2",0.0870115734744767
"HIC",2017,"Scenario 3",0.0870115734744767
"HIC",2017,"Scenario 4",0.0870115734744767
"HIC",2018,"Business as usual",0.0822084465322248
"HIC",2018,"Scenario 1",0.0822084465322248
"HIC",2018,"Scenario 2",0.0822084465322248
"HIC",2018,"Scenario 3",0.0822084465322248
"HIC",2018,"Scenario 4",0.0822084465322248
"HIC",2019,"Business as usual",0.0814852417980888
"HIC",2019,"Scenario 1",0.0814852417980888
"HIC",2019,"Scenario 2",0.0814852417980888
"HIC",2019,"Scenario 3",0.0814852417980888
"HIC",2019,"Scenario 4",0.0814852417980888
"HIC",2020,"Business as usual",0.0810392961655494
"HIC",2020,"Scenario 1",0.0810392961655494
"HIC",2020,"Scenario 2",0.0810392961655494
"HIC",2020,"Scenario 3",0.0810392961655494
"HIC",2020,"Scenario 4",0.0810392961655494
"HIC",2021,"Business as usual",0.0808419033856665
"HIC",2021,"Scenario 1",0.0808419033856665
"HIC",2021,"Scenario 2",0.0808419033856665
"HIC",2021,"Scenario 3",0.0808419033856665
"HIC",2021,"Scenario 4",0.0808419033856665
"HIC",2022,"Business as usual",0.0800654785577201
"HIC",2022,"Scenario 1",0.0800654785577201
"HIC",2022,"Scenario 2",0.0800654785577201
"HIC",2022,"Scenario 3",0.0800654785577201
"HIC",2022,"Scenario 4",0.0800654785577201
"HIC",2023,"Business as usual",0.0792926829690961
"HIC",2023,"Scenario 1",0.0791235908257766
"HIC",2023,"Scenario 2",0.0789935001630214
"HIC",2023,"Scenario 3",0.0787961933794495
"HIC",2023,"Scenario 4",0.0784885413312033
"HIC",2024,"Business as usual",0.0788036930339896
"HIC",2024,"Scenario 1",0.0784538776896875
"HIC",2024,"Scenario 2",0.0781968003228211
"HIC",2024,"Scenario 3",0.077786646831814
"HIC",2024,"Scenario 4",0.0771411331931855
"HIC",2025,"Business as usual",0.0785706417738316
"HIC",2025,"Scenario 1",0.0780272065407693
"HIC",2025,"Scenario 2",0.0776277112918659
"HIC",2025,"Scenario 3",0.076987443893253
"HIC",2025,"Scenario 4",0.0759604462654493
"HIC",2026,"Business as usual",0.0786435687642003
"HIC",2026,"Scenario 1",0.0778914517069234
"HIC",2026,"Scenario 2",0.0773308016396488
"HIC",2026,"Scenario 3",0.07644015649332
"HIC",2026,"Scenario 4",0.0749842396511494
"HIC",2027,"Business as usual",0.078522174846161
"HIC",2027,"Scenario 1",0.0775507264667069
"HIC",2027,"Scenario 2",0.0768106875480807
"HIC",2027,"Scenario 3",0.0756540029622387
"HIC",2027,"Scenario 4",0.0737578987042923
"HIC",2028,"Business as usual",0.0783751833946484
"HIC",2028,"Scenario 1",0.0771726907206611
"HIC",2028,"Scenario 2",0.0762350323797619
"HIC",2028,"Scenario 3",0.0747949063530188
"HIC",2028,"Scenario 4",0.0724266823078588
"HIC",2029,"Business as usual",0.0782864531719417
"HIC",2029,"Scenario 1",0.0768400454787951
"HIC",2029,"Scenario 2",0.0756872668077574
"HIC",2029,"Scenario 3",0.0739441877177526
"HIC",2029,"Scenario 4",0.0710659981572114
"HIC",2030,"Business as usual",0.0779973682038285
"HIC",2030,"Scenario 1",0.0763004672815816
"HIC",2030,"Scenario 2",0.0749248093476848
"HIC",2030,"Scenario 3",0.0728669184422155
