"","wb2021","year","intervention","x50q30"
"1","HIC",2017,"Baseline",0.0870115734744767
"2","HIC",2017,"Scenario 1",0.0870115734744767
"3","HIC",2017,"Scenario 2",0.0870115734744767
"4","HIC",2017,"Scenario 3",0.0870115734744767
"5","HIC",2017,"Scenario 4",0.0870115734744767
"6","HIC",2018,"Baseline",0.0803224235895
"7","HIC",2018,"Scenario 1",0.0803224235895
"8","HIC",2018,"Scenario 2",0.0803224235895
"9","HIC",2018,"Scenario 3",0.0803224235895
"10","HIC",2018,"Scenario 4",0.0803224235895
"11","HIC",2019,"Baseline",0.0798743347711649
"12","HIC",2019,"Scenario 1",0.0798743347711649
"13","HIC",2019,"Scenario 2",0.0798743347711649
"14","HIC",2019,"Scenario 3",0.0798743347711649
"15","HIC",2019,"Scenario 4",0.0798743347711649
"16","HIC",2020,"Baseline",0.0782702139968443
"17","HIC",2020,"Scenario 1",0.0782702139968443
"18","HIC",2020,"Scenario 2",0.0782702139968443
"19","HIC",2020,"Scenario 3",0.0782702139968443
"20","HIC",2020,"Scenario 4",0.0782702139968443
"21","HIC",2021,"Baseline",0.0769489821433396
"22","HIC",2021,"Scenario 1",0.0769489821433396
"23","HIC",2021,"Scenario 2",0.0769489821433396
"24","HIC",2021,"Scenario 3",0.0769489821433396
"25","HIC",2021,"Scenario 4",0.0769489821433396
"26","HIC",2022,"Baseline",0.0752278248607969
"27","HIC",2022,"Scenario 1",0.0752278248607969
"28","HIC",2022,"Scenario 2",0.0752278248607969
"29","HIC",2022,"Scenario 3",0.0752278248607969
"30","HIC",2022,"Scenario 4",0.0752278248607969
"31","HIC",2023,"Baseline",0.0735107308645206
"32","HIC",2023,"Scenario 1",0.0734013227757557
"33","HIC",2023,"Scenario 2",0.0734040606221875
"34","HIC",2023,"Scenario 3",0.0732383044953212
"35","HIC",2023,"Scenario 4",0.0729067036085564
"36","HIC",2024,"Baseline",0.0720363485608433
"37","HIC",2024,"Scenario 1",0.0718051119088953
"38","HIC",2024,"Scenario 2",0.0718108530889205
"39","HIC",2024,"Scenario 3",0.0714617882897794
"40","HIC",2024,"Scenario 4",0.0707638072463571
"41","HIC",2025,"Baseline",0.0707819315932547
"42","HIC",2025,"Scenario 1",0.0704741440317059
"43","HIC",2025,"Scenario 2",0.0704256272722145
"44","HIC",2025,"Scenario 3",0.0698780510909514
"45","HIC",2025,"Scenario 4",0.0687842733205022
"46","HIC",2026,"Baseline",0.069857452000554
"47","HIC",2026,"Scenario 1",0.0694793312443812
"48","HIC",2026,"Scenario 2",0.069350662697136
"49","HIC",2026,"Scenario 3",0.0685895939996312
"50","HIC",2026,"Scenario 4",0.0670716088229173
"51","HIC",2027,"Baseline",0.0687701096785039
"52","HIC",2027,"Scenario 1",0.0683124835816604
"53","HIC",2027,"Scenario 2",0.0680979110218977
"54","HIC",2027,"Scenario 3",0.0671146871590133
"55","HIC",2027,"Scenario 4",0.0651572064019232
"56","HIC",2028,"Baseline",0.0676903046802827
"57","HIC",2028,"Scenario 1",0.0671446637595374
"58","HIC",2028,"Scenario 2",0.0668417484379047
"59","HIC",2028,"Scenario 3",0.0656285706577027
"60","HIC",2028,"Scenario 4",0.0632190415206174
"61","HIC",2029,"Baseline",0.0666996305938171
"62","HIC",2029,"Scenario 1",0.0660571225128999
"63","HIC",2029,"Scenario 2",0.065665582539232
"64","HIC",2029,"Scenario 3",0.0642148174981727
"65","HIC",2029,"Scenario 4",0.061341773648793
"66","HIC",2030,"Baseline",0.065584017388357
"67","HIC",2030,"Scenario 1",0.0648224334386482
"68","HIC",2030,"Scenario 2",0.0643406678935209
"69","HIC",2030,"Scenario 3",0.0626515220936493
"70","HIC",2030,"Scenario 4",0.0593187496183255
"71","HIC",2031,"Baseline",0.0646156913012541
"72","HIC",2031,"Scenario 1",0.063752980064278
"73","HIC",2031,"Scenario 2",0.0631588222952545
"74","HIC",2031,"Scenario 3",0.0612256782974492
"75","HIC",2031,"Scenario 4",0.0574361352446693
"76","HIC",2032,"Baseline",0.0637026344951029
"77","HIC",2032,"Scenario 1",0.0627554171053379
"78","HIC",2032,"Scenario 2",0.0620284913586019
"79","HIC",2032,"Scenario 3",0.0598484861557147
"80","HIC",2032,"Scenario 4",0.0556861056828097
"81","HIC",2033,"Baseline",0.062770761130296
"82","HIC",2033,"Scenario 1",0.0617374954542149
"83","HIC",2033,"Scenario 2",0.0608785803422544
"84","HIC",2033,"Scenario 3",0.0584525224966208
"85","HIC",2033,"Scenario 4",0.0541345743319165
"86","HIC",2034,"Baseline",0.0618785769291822
"87","HIC",2034,"Scenario 1",0.0607620866629047
"88","HIC",2034,"Scenario 2",0.0597583531188339
"89","HIC",2034,"Scenario 3",0.0570866648142468
"90","HIC",2034,"Scenario 4",0.0527048559238518
"91","HIC",2035,"Baseline",0.060922783002527
"92","HIC",2035,"Scenario 1",0.0597268155155286
"93","HIC",2035,"Scenario 2",0.0585777647206829
"94","HIC",2035,"Scenario 3",0.0556656693877741
"95","HIC",2035,"Scenario 4",0.0513853580311993
"96","HIC",2036,"Baseline",0.0600374037379089
"97","HIC",2036,"Scenario 1",0.0587556600621855
"98","HIC",2036,"Scenario 2",0.0574622542090888
"99","HIC",2036,"Scenario 3",0.0543125248971068
"100","HIC",2036,"Scenario 4",0.0502166902267311
"101","HIC",2037,"Baseline",0.0592057444611839
