"wbregion","year","intervention","regimen","x50q30"
"East Asia and Pacific",2017,"Current care","Aspirin",0.472594380896044
"East Asia and Pacific",2017,"Current care","No aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 1","Aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 1","No aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 2","Aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 2","No aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 3","Aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 3","No aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 4","Aspirin",0.472594380896044
"East Asia and Pacific",2017,"Scenario 4","No aspirin",0.472594380896044
"East Asia and Pacific",2018,"Current care","Aspirin",0.446168487051982
"East Asia and Pacific",2018,"Current care","No aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 1","Aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 1","No aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 2","Aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 2","No aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 3","Aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 3","No aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 4","Aspirin",0.446168487051982
"East Asia and Pacific",2018,"Scenario 4","No aspirin",0.446168487051982
"East Asia and Pacific",2019,"Current care","Aspirin",0.445837965031548
"East Asia and Pacific",2019,"Current care","No aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 1","Aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 1","No aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 2","Aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 2","No aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 3","Aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 3","No aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 4","Aspirin",0.445837965031548
"East Asia and Pacific",2019,"Scenario 4","No aspirin",0.445837965031548
"East Asia and Pacific",2020,"Current care","Aspirin",0.443482694799472
"East Asia and Pacific",2020,"Current care","No aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 1","Aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 1","No aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 2","Aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 2","No aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 3","Aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 3","No aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 4","Aspirin",0.443482694799472
"East Asia and Pacific",2020,"Scenario 4","No aspirin",0.443482694799472
"East Asia and Pacific",2021,"Current care","Aspirin",0.444945903112702
"East Asia and Pacific",2021,"Current care","No aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 1","Aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 1","No aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 2","Aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 2","No aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 3","Aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 3","No aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 4","Aspirin",0.444945903112702
"East Asia and Pacific",2021,"Scenario 4","No aspirin",0.444945903112702
"East Asia and Pacific",2022,"Current care","Aspirin",0.435670498139302
"East Asia and Pacific",2022,"Current care","No aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 1","Aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 1","No aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 2","Aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 2","No aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 3","Aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 3","No aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 4","Aspirin",0.435670498139302
"East Asia and Pacific",2022,"Scenario 4","No aspirin",0.435670498139302
"East Asia and Pacific",2023,"Current care","Aspirin",0.432225652944704
"East Asia and Pacific",2023,"Current care","No aspirin",0.432225652944704
"East Asia and Pacific",2023,"Scenario 1","Aspirin",0.431855736285474
"East Asia and Pacific",2023,"Scenario 1","No aspirin",0.431932126409304
"East Asia and Pacific",2023,"Scenario 2","Aspirin",0.431855736285474
"East Asia and Pacific",2023,"Scenario 2","No aspirin",0.431932126409304
"East Asia and Pacific",2023,"Scenario 3","Aspirin",0.431668635838625
"East Asia and Pacific",2023,"Scenario 3","No aspirin",0.431770251777223
"East Asia and Pacific",2023,"Scenario 4","Aspirin",0.431479992682391
"East Asia and Pacific",2023,"Scenario 4","No aspirin",0.431607049460951
"East Asia and Pacific",2024,"Current care","Aspirin",0.428468421207335
"East Asia and Pacific",2024,"Current care","No aspirin",0.428468421207335
"East Asia and Pacific",2024,"Scenario 1","Aspirin",0.427637695413117
"East Asia and Pacific",2024,"Scenario 1","No aspirin",0.427809143214069
"East Asia and Pacific",2024,"Scenario 2","Aspirin",0.427637695413117
"East Asia and Pacific",2024,"Scenario 2","No aspirin",0.427809143214069
"East Asia and Pacific",2024,"Scenario 3","Aspirin",0.427217472096654
"East Asia and Pacific",2024,"Scenario 3","No aspirin",0.427445560456679
"East Asia and Pacific",2024,"Scenario 4","Aspirin",0.426794037814232
"East Asia and Pacific",2024,"Scenario 4","No aspirin",0.427079212178608
"East Asia and Pacific",2025,"Current care","Aspirin",0.426051008544724
"East Asia and Pacific",2025,"Current care","No aspirin",0.426051008544724
"East Asia and Pacific",2025,"Scenario 1","Aspirin",0.424703700014604
"East Asia and Pacific",2025,"Scenario 1","No aspirin",0.424983990926776
"East Asia and Pacific",2025,"Scenario 2","Aspirin",0.424703484714387
"East Asia and Pacific",2025,"Scenario 2","No aspirin",0.424983804634924
"East Asia and Pacific",2025,"Scenario 3","Aspirin",0.424022102912324
"East Asia and Pacific",2025,"Scenario 3","No aspirin",0.42439493617289
"East Asia and Pacific",2025,"Scenario 4","Aspirin",0.423335759018007
"East Asia and Pacific",2025,"Scenario 4","No aspirin",0.423801758306587
"East Asia and Pacific",2026,"Current care","Aspirin",0.422760199206898
"East Asia and Pacific",2026,"Current care","No aspirin",0.422760199206898
"East Asia and Pacific",2026,"Scenario 1","Aspirin",0.42086125995572
"East Asia and Pacific",2026,"Scenario 1","No aspirin",0.421259786412356
"East Asia and Pacific",2026,"Scenario 2","Aspirin",0.420858231003675
"East Asia and Pacific",2026,"Scenario 2","No aspirin",0.421257164592293
"East Asia and Pacific",2026,"Scenario 3","Aspirin",0.41989835134885
"East Asia and Pacific",2026,"Scenario 3","No aspirin",0.420428696385675
"East Asia and Pacific",2026,"Scenario 4","Aspirin",0.418931882038806
"East Asia and Pacific",2026,"Scenario 4","No aspirin",0.419594417766897
"East Asia and Pacific",2027,"Current care","Aspirin",0.420226688058317
"East Asia and Pacific",2027,"Current care","No aspirin",0.420226688058317
"East Asia and Pacific",2027,"Scenario 1","Aspirin",0.417732410817067
"East Asia and Pacific",2027,"Scenario 1","No aspirin",0.418259913170675
"East Asia and Pacific",2027,"Scenario 2","Aspirin",0.417724666719958
"East Asia and Pacific",2027,"Scenario 2","No aspirin",0.418253207118352
"East Asia and Pacific",2027,"Scenario 3","Aspirin",0.416465544451202
"East Asia and Pacific",2027,"Scenario 3","No aspirin",0.417167776470729
"East Asia and Pacific",2027,"Scenario 4","Aspirin",0.415198475559626
"East Asia and Pacific",2027,"Scenario 4","No aspirin",0.416075178605264
"East Asia and Pacific",2028,"Current care","Aspirin",0.418166368376174
"East Asia and Pacific",2028,"Current care","No aspirin",0.418166368376174
"East Asia and Pacific",2028,"Scenario 1","Aspirin",0.415037126939221
"East Asia and Pacific",2028,"Scenario 1","No aspirin",0.415703837352219
"East Asia and Pacific",2028,"Scenario 2","Aspirin",0.415024638620529
"East Asia and Pacific",2028,"Scenario 2","No aspirin",0.415693017158172
"East Asia and Pacific",2028,"Scenario 3","Aspirin",0.413447365838509
"East Asia and Pacific",2028,"Scenario 3","No aspirin",0.414334776258899
"East Asia and Pacific",2028,"Scenario 4","Aspirin",0.411861142640639
"East Asia and Pacific",2028,"Scenario 4","No aspirin",0.412968202478752
"East Asia and Pacific",2029,"Current care","Aspirin",0.415175573769918
"East Asia and Pacific",2029,"Current care","No aspirin",0.415175573769918
"East Asia and Pacific",2029,"Scenario 1","Aspirin",0.411394632230417
"East Asia and Pacific",2029,"Scenario 1","No aspirin",0.412205460219114
"East Asia and Pacific",2029,"Scenario 2","Aspirin",0.411377115659447
"East Asia and Pacific",2029,"Scenario 2","No aspirin",0.412190273248369
